"","MSSubClass","MSZoning","Street","LotShape","LandContour","LotConfig","LandSlope","BldgType","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","FireplaceQu","GarageType","GarageFinish","GarageQual","PavedDrive","MoSold","SaleType","SaleCondition","Remod","IsNew","Location","Amenities1","Amenities2","Railroad","Amenities","NeighRich"
"1419","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","CBlock",3,3,1,4,3,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"8","COD","Normal",0,0,2,0,0,0,0,1
"1420","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","Plywood","Plywood","BrkFace","CBlock",3,3,3,3,1,"GasA",4,1,"SBrkr",4,3,"Attchd",2,3,2,"12","WD","Normal",0,0,3,0,0,0,0,1
"1421","2 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,5,1,"GasA",4,1,"SBrkr",3,3,"Attchd",2,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"1422","1 story PUD 1946+","RL",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","Plywood","Plywood","None","CBlock",4,3,1,5,1,"GasA",3,1,"SBrkr",3,2,"Attchd",2,3,2,"7","WD","Normal",0,0,2,0,0,0,0,1
"1423","1 story PUD 1946+","RM",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",3,3,2,"3","WD","Normal",0,0,3,0,0,0,0,1
"1424","split/multi level","RL",1,3,"Lvl","CulDSac",2,"1Fam","Flat","Tar&Grv","Plywood","Plywood","None","CBlock",4,3,3,1,1,"GasA",3,1,"SBrkr",4,4,"Attchd",1,4,2,"8","WD","Alloca",0,0,1,0,0,0,0,1
"1425","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","None","CBlock",3,3,1,5,3,"GasA",3,1,"SBrkr",3,3,"Detchd",1,3,2,"6","WD","Normal",1,0,2,0,0,0,0,1
"1426","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","Stone","CBlock",3,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Detchd",1,3,2,"10","WD","Normal",0,0,2,0,0,0,0,1
"1427","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"8","WD","Normal",0,0,4,0,0,0,0,2
"1428","1,5 story fin","RL",1,4,"Bnk","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,4,1,"GasA",3,1,"FuseA",3,3,"Attchd",1,3,2,"4","WD","Normal",1,0,2,0,0,1,0,1
"1430","1 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","BrkFace","CBlock",4,3,1,4,1,"GasA",5,1,"SBrkr",4,3,"Attchd",3,3,2,"4","WD","Normal",0,0,3,0,0,0,0,1
"1431","2 story 1946+","RL",1,1,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,4,3,1,1,"GasA",5,1,"SBrkr",3,4,"BuiltIn",3,3,2,"7","WD","Normal",0,0,3,0,0,1,0,1
"1432","1 story PUD 1946+","RL",1,3,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","Plywood","Plywood","None","CBlock",4,3,1,2,1,"GasA",3,1,"SBrkr",3,0,"Attchd",2,3,2,"10","WD","Normal",0,0,2,0,0,0,0,1
"1433","1 story 1945-","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",3,3,1,1,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,2,2,"8","WD","Normal",1,0,2,0,0,0,0,1
"1434","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",3,3,"Attchd",3,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"1435","1 story 1946+","RL",1,4,"Low","Inside",1,"1Fam","Gable","CompShg","BrkFace","BrkFace","None","CBlock",3,3,1,5,1,"GasA",2,1,"SBrkr",3,4,"Attchd",2,3,1,"5","WD","Normal",0,0,2,0,0,0,0,1
"1437","1 story 1946+","RL",1,4,"Lvl","FR2",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","PConc",3,3,1,5,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"5","WD","Normal",0,0,2,0,0,0,0,1
"1438","1 story 1946+","RL",1,4,"Lvl","FR2",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","Stone","PConc",5,3,3,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"11","New","Partial",0,1,4,0,0,0,0,2
"1439","1 story 1946+","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,6,1,"GasA",3,1,"FuseA",3,0,"Attchd",1,3,2,"4","WD","Normal",1,0,2,0,0,1,0,1
"1440","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,6,3,"GasA",3,1,"SBrkr",3,3,"Attchd",2,3,2,"11","WD","Normal",0,0,3,0,0,0,0,1
"1441","2 story 1945-","RL",1,3,"Bnk","Inside",1,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","BrkTil",5,3,1,1,1,"GasA",2,1,"SBrkr",3,4,"Detchd",3,3,2,"9","WD","Normal",1,0,3,0,0,0,0,1
"1442","1 story PUD 1946+","RM",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"1443","2 story 1946+","FV",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",5,3,3,6,1,"GasA",5,1,"SBrkr",5,5,"Attchd",3,3,2,"4","WD","Normal",0,0,4,0,0,0,0,1
"1444","1 story 1945-","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",3,3,1,1,1,"Grav",2,0,"FuseF",2,4,"Detchd",1,2,1,"5","WD","Normal",1,0,2,0,0,0,0,1
"1445","1 story 1946+","RL",1,4,"Lvl","FR2",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"11","WD","Normal",0,0,3,0,0,0,0,1
"1446","split foyer","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",3,3,4,2,3,"GasA",4,1,"SBrkr",3,0,"Detchd",1,3,2,"5","WD","Normal",0,0,1,0,0,0,0,1
"1447","1 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,3,1,"GasA",3,1,"SBrkr",3,0,"Attchd",1,3,1,"4","WD","Normal",0,0,2,0,0,0,0,1
"1448","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"12","WD","Normal",1,0,3,0,0,0,0,1
"1449","1,5 story fin","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","HdBoard","None","CBlock",2,3,1,1,1,"GasA",4,0,"SBrkr",3,0,"Detchd",1,2,2,"5","WD","Normal",1,0,1,0,0,0,0,1
"1451","duplex all style/age","RL",1,4,"Lvl","FR2",2,"Duplex","Gable","CompShg","VinylSd","VinylSd","None","CBlock",4,3,1,1,1,"GasA",3,1,"SBrkr",3,0,"No Garage",0,0,2,"9","WD","Normal",0,0,2,0,0,0,0,1
"1452","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","CemntBd","CmentBd","Stone","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"5","New","Partial",1,0,4,0,0,0,0,1
"1453","PUD multilevel","RM",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,4,6,1,"GasA",4,1,"SBrkr",3,0,"Basment",3,3,2,"5","WD","Normal",0,0,1,0,0,0,0,1
"1455","1 story 1946+","FV",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"10","WD","Normal",1,0,4,0,0,0,0,1
"1456","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",3,3,"Attchd",2,3,2,"8","WD","Normal",1,0,3,0,0,0,0,1
"1457","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Plywood","Plywood","Stone","CBlock",4,3,1,5,3,"GasA",3,1,"SBrkr",3,3,"Attchd",1,3,2,"2","WD","Normal",1,0,3,0,0,0,0,1
"1458","2 story 1945-","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","CemntBd","CmentBd","None","Stone",3,4,1,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"5","WD","Normal",1,0,3,0,0,0,0,1
"1459","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","MetalSd","MetalSd","None","CBlock",3,3,2,6,3,"GasA",4,1,"FuseA",4,0,"Attchd",1,3,2,"4","WD","Normal",1,0,2,0,0,0,0,1
"1460","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","CBlock",3,3,1,4,2,"GasA",4,1,"SBrkr",3,0,"Attchd",3,3,2,"6","WD","Normal",0,0,1,0,0,0,0,1
"1461","1 story 1946+","RH",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",3,3,1,3,2,"GasA",3,1,"SBrkr",3,0,"Attchd",1,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"1462","1 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock",3,3,1,5,1,"GasA",3,1,"SBrkr",4,0,"Attchd",1,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"1463","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",4,1,"SBrkr",3,3,"Attchd",3,3,2,"3","WD","Normal",1,0,3,0,0,0,0,1
"1464","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",3,3,1,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",3,3,2,"6","WD","Normal",0,0,3,0,0,0,0,1
"1465","1 story PUD 1946+","RL",1,3,"HLS","Inside",2,"TwnhsE","Gable","CompShg","HdBoard","HdBoard","None","PConc",4,3,1,5,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"1","WD","Normal",0,0,4,0,0,0,0,2
"1466","2 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","PConc",4,3,1,1,1,"GasA",4,1,"SBrkr",3,3,"Attchd",3,3,2,"4","WD","Normal",1,0,3,0,0,0,0,1
"1467","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","PConc",4,3,1,5,1,"GasA",5,1,"SBrkr",3,0,"Attchd",3,3,2,"3","WD","Normal",1,0,3,0,0,0,0,1
"1468","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",4,1,"SBrkr",3,4,"Attchd",3,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"1469","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","PConc",4,3,4,6,1,"GasA",4,1,"SBrkr",4,1,"Attchd",1,3,2,"2","WD","Normal",0,0,3,0,0,0,0,1
"1470","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","Plywood","Plywood","None","CBlock",3,3,1,5,3,"GasA",3,1,"SBrkr",3,0,"Attchd",3,3,2,"4","WD","Normal",0,0,2,0,0,0,0,1
"1471","1 story PUD 1946+","RH",1,3,"Lvl","FR2",2,"TwnhsE","Gable","CompShg","MetalSd","MetalSd","None","PConc",4,3,1,6,4,"GasA",5,1,"SBrkr",4,2,"Attchd",3,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"1472","2 story PUD 1946+","RM",1,4,"Lvl","Inside",2,"Twnhs","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,3,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"2","COD","Normal",0,0,1,0,0,0,0,0
"1473","2 story PUD 1946+","RM",1,4,"Lvl","Inside",2,"Twnhs","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,3,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"3","WD","Normal",0,0,1,0,0,0,0,0
"1474","2 story PUD 1946+","RL",1,4,"Lvl","FR2",2,"Twnhs","Gable","CompShg","Plywood","Brk Cmn","None","CBlock",3,3,1,5,1,"GasA",3,1,"SBrkr",4,3,"Attchd",1,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"1475","1 story PUD 1946+","RL",1,4,"Lvl","FR2",2,"Twnhs","Gable","CompShg","Plywood","Brk Cmn","None","CBlock",4,3,1,1,1,"GasA",5,1,"SBrkr",3,0,"Attchd",1,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"1476","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",5,3,1,1,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"1","New","Partial",1,0,4,0,0,0,0,2
"1477","1 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"6","New","Partial",1,0,4,0,0,0,0,2
"1478","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,1,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"6","WD","Normal",0,0,4,1,0,0,1,2
"1479","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","CemntBd","CmentBd","BrkFace","PConc",5,3,1,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",2,3,2,"2","WD","Normal",1,0,4,0,0,0,0,2
"1480","1 story 1946+","RL",1,4,"HLS","Inside",1,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,4,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"6","WD","Normal",1,0,4,0,0,0,0,2
"1481","2 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,4,6,1,"GasA",5,1,"SBrkr",4,5,"Attchd",3,3,2,"6","WD","Normal",0,0,4,0,0,0,0,2
"1482","1 story PUD 1946+","RL",1,3,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",4,3,2,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"4","WD","Normal",0,0,4,0,0,0,0,2
"1483","1 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",3,3,2,"1","WD","Normal",0,0,3,0,0,0,0,1
"1484","1 story PUD 1946+","RL",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",3,3,2,"1","WD","Normal",0,0,4,0,0,0,0,1
"1485","split/multi level","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",3,3,2,"6","WD","Normal",0,0,3,0,0,0,0,1
"1486","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",3,3,2,"4","WD","Normal",0,0,3,0,0,0,0,1
"1487","2 story 1946+","RL",1,2,"Lvl","CulDSac",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,1,1,1,"GasA",5,1,"SBrkr",4,3,"Attchd",3,3,2,"1","WD","Normal",0,0,4,0,0,0,0,2
"1488","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"5","WD","Normal",1,0,4,0,0,0,0,1
"1489","1 story 1946+","FV",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"4","New","Partial",1,0,4,0,0,0,0,1
"1490","1 story 1946+","FV",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",5,3,1,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",3,3,2,"5","WD","Normal",0,0,4,0,0,0,0,1
"1491","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"4","WD","Normal",0,0,3,0,0,0,0,1
"1492","1 story 1945-","RH",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",3,3,1,1,1,"GasA",3,0,"FuseA",3,0,"Detchd",1,3,2,"4","WD","Normal",1,0,3,0,0,0,0,1
"1494","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","ImStucc","BrkFace","PConc",4,3,1,2,6,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"6","WD","Normal",0,0,4,0,0,0,0,2
"1495","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"6","WD","Normal",1,0,4,0,0,0,0,2
"1496","1 story PUD 1946+","FV",1,3,"Lvl","CulDSac",2,"TwnhsE","Gable","CompShg","MetalSd","MetalSd","None","PConc",5,3,3,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",3,3,2,"3","WD","Normal",1,0,4,0,0,0,0,1
"1497","2 story PUD 1946+","FV",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"1","WD","Normal",0,0,4,0,0,0,0,1
"1498","2 story PUD 1946+","FV",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","MetalSd","MetalSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,0,"Detchd",2,3,2,"4","ConLD","Normal",0,0,4,0,0,0,0,1
"1499","2 story PUD 1946+","FV",1,4,"Lvl","Inside",2,"Twnhs","Gable","CompShg","MetalSd","MetalSd","None","PConc",4,3,1,6,5,"GasA",5,1,"SBrkr",4,0,"Detchd",2,3,2,"2","WD","Normal",1,0,4,0,0,0,0,1
"1500","2 story PUD 1946+","FV",1,4,"Lvl","Inside",2,"Twnhs","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Detchd",2,3,2,"5","WD","Normal",0,0,4,0,0,0,0,1
"1501","2 story PUD 1946+","FV",1,4,"Lvl","Corner",2,"TwnhsE","Gable","CompShg","MetalSd","MetalSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Detchd",1,3,2,"5","WD","Normal",0,0,4,0,0,0,0,1
"1502","2 story PUD 1946+","FV",1,3,"Lvl","FR2",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"6","WD","Normal",0,0,4,0,0,0,0,1
"1503","1 story 1946+","FV",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","CemntBd","CmentBd","None","PConc",5,1,1,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"4","New","Partial",0,1,4,0,0,0,0,1
"1504","2 story 1946+","FV",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"4","WD","Normal",0,0,4,0,0,0,0,1
"1505","1 story 1946+","FV",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"4","WD","Normal",0,0,4,0,0,0,0,1
"1506","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,6,1,"GasA",4,1,"SBrkr",3,0,"Attchd",2,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"1507","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","PConc",4,3,2,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",1,3,2,"3","WD","Normal",0,0,3,0,0,0,0,1
"1508","1,5 story fin","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","PConc",4,3,2,5,2,"GasA",3,1,"SBrkr",3,3,"Attchd",2,3,2,"4","WD","Normal",0,0,3,0,0,0,0,1
"1509","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,5,1,"GasA",3,1,"SBrkr",3,0,"Attchd",2,3,2,"6","WD","Normal",0,0,3,0,0,0,0,1
"1510","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","CBlock",3,3,1,3,1,"GasA",3,1,"SBrkr",3,0,"Attchd",2,3,2,"4","WD","Normal",0,0,2,0,0,0,0,1
"1511","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","None","PConc",4,3,1,4,1,"GasA",4,1,"SBrkr",3,0,"Attchd",2,3,2,"4","ConLD","Normal",0,0,2,0,0,0,0,1
"1512","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Plywood","BrkFace","CBlock",3,3,1,4,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"4","WD","Normal",0,0,2,0,0,0,0,1
"1515","1,5 story fin","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","BrkFace","CBlock",3,3,1,2,1,"GasA",4,1,"SBrkr",3,4,"Detchd",1,3,2,"3","WD","Normal",1,0,2,0,0,0,0,1
"1516","1,5 story fin","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","Stone","CBlock",3,3,1,3,1,"GasA",3,1,"SBrkr",3,4,"Attchd",1,3,2,"1","WD","Normal",1,0,2,0,0,1,0,1
"1517","split foyer","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,4,6,1,"GasA",4,1,"SBrkr",4,4,"Attchd",1,3,2,"1","WD","Normal",1,0,2,0,0,0,0,1
"1518","duplex all style/age","RL",1,4,"Lvl","Corner",2,"Duplex","Gable","CompShg","HdBoard","HdBoard","None","CBlock",3,3,1,1,1,"GasA",3,1,"SBrkr",3,0,"Attchd",1,3,2,"3","WD","Normal",0,0,2,0,0,0,0,1
"1519","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"2","WD","Normal",1,0,2,0,0,0,0,1
"1520","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","MetalSd","MetalSd","BrkFace","CBlock",3,3,1,4,3,"GasA",3,1,"SBrkr",3,0,"Attchd",2,3,2,"5","WD","Normal",0,0,2,0,0,0,0,1
"1521","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","MetalSd","MetalSd","BrkFace","CBlock",3,3,1,3,1,"GasA",2,1,"SBrkr",3,0,"Attchd",2,3,2,"5","WD","Normal",0,0,2,0,0,0,0,1
"1522","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","Stone","CBlock",3,3,1,3,1,"GasA",5,1,"SBrkr",3,4,"Attchd",1,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"1523","1,5 story fin","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,1,1,"GasA",3,1,"FuseA",3,0,"Attchd",1,3,2,"2","WD","Normal",0,0,2,0,0,0,0,1
"1524","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","WdShing","Wd Shng","None","CBlock",3,3,1,4,1,"GasA",3,1,"SBrkr",2,0,"Detchd",1,3,2,"5","WD","Normal",0,0,2,0,0,0,0,1
"1525","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,3,1,"GasA",3,1,"SBrkr",3,0,"Attchd",1,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"1527","1 story 1945-","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","BrkTil",3,3,1,1,1,"GasA",4,1,"SBrkr",3,0,"Detchd",1,3,0,"4","WD","Normal",1,0,2,0,0,0,0,1
